hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
881f2a6609fffff,8,9,7,69.1,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a660bfffff,8,9,7,54.5,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a660dfffff,8,9,7,68.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6611fffff,8,9,7,37.1,low,Låg,#d88752,0.286,4,Brant relief och dalpräglat inland
881f2a6613fffff,8,9,7,18.1,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a6615fffff,8,9,7,69.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6617fffff,8,9,7,61.7,medium,Medel,#e2c85f,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6619fffff,8,9,7,20.6,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a661bfffff,8,9,7,14.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a661dfffff,8,9,7,51.7,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6621fffff,8,9,7,69.9,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6623fffff,8,9,7,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6625fffff,8,9,7,69.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6627fffff,8,9,7,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6629fffff,8,9,7,66.3,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a662bfffff,8,9,7,69.8,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a662dfffff,8,9,7,68.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6631fffff,8,9,7,67.9,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6633fffff,8,9,7,69.8,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6635fffff,8,9,7,67.9,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6637fffff,8,9,7,67.3,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6639fffff,8,9,7,68.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a663bfffff,8,9,7,63.5,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a663dfffff,8,9,7,69.8,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6641fffff,8,9,7,45.8,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6643fffff,8,9,7,67.0,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6645fffff,8,9,7,65.7,high,Hög,#79b46b,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6647fffff,8,9,7,67.5,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6649fffff,8,9,7,45.5,medium,Medel,#e2c85f,0.143,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a664bfffff,8,9,7,32.1,low,Låg,#d88752,0.0,4,Brant relief och dalpräglat inland
881f2a664dfffff,8,9,7,67.8,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6651fffff,8,9,7,33.8,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
881f2a6653fffff,8,9,3,18.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a6655fffff,8,9,7,58.8,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6657fffff,8,9,7,23.3,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a6659fffff,8,9,4,19.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a665dfffff,8,9,7,53.4,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6661fffff,8,9,7,67.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6663fffff,8,9,7,60.5,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6665fffff,8,9,7,67.5,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6667fffff,8,9,7,67.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6669fffff,8,9,7,69.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a666bfffff,8,9,7,67.2,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a666dfffff,8,9,7,69.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6681fffff,8,9,6,19.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a6683fffff,8,9,6,23.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a6685fffff,8,9,7,53.5,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6687fffff,8,9,7,63.9,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6689fffff,8,9,1,19.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
