"variable","F1","F2","F3","F4","F5"
"std_gc_relief_flat_band_k10",0.302211405531298,-0.169536596491321,0.108366173254311,0.00957119282400221,0.227141691678944
"mean_gc_relief_rolling_band_k10",-0.0826374825329314,-0.0156670957491027,-0.0112946980877461,-0.0496319231291614,-0.233971187850308
"std_gc_relief_rolling_band_k10",0.268544410782053,0.0279429240703958,0.137530614517455,0.0392718253768638,-0.00255778331710243
"mean_gc_relief_strong_band_k10",-0.0813847856161551,0.677992876561872,0.0214185122522461,-0.0542694146233274,-0.114227888734627
"std_gc_relief_strong_band_k10",0.084102175860864,0.279729100886694,0.070505552296193,0.0216461645329995,-0.0215461795243327
"mean_gc_highest_point_low_band_k10",0.606422002750592,0.0234083548028038,-0.205616117198906,0.218175342007787,0.457975894772234
"std_gc_highest_point_low_band_k10",0.332274350818309,0.166497520943649,0.00505977814020201,0.0939327344971711,0.0141055689043024
"mean_gc_highest_point_mid_band_k10",-0.283312056523769,0.141623071910862,-0.174181823582685,-0.144712397354424,-0.0921591963893312
"std_gc_highest_point_mid_band_k10",-0.0187727439619273,0.229645217834973,0.0271776972180547,-0.0416432081310203,0.0166002364638971
"mean_gc_highest_point_high_band_k10",-0.443262122499892,-0.148527743984995,0.359308810599622,-0.193345122744577,-0.295444804118293
"std_gc_highest_point_high_band_k10",-0.0470458059566321,0.0478993355168698,0.137356704814003,-0.0333470555875203,-0.0606681902151842
"mean_gc_contour_mean_elevation_m_k10",-0.725288873235755,-0.14353586553938,0.276802271179567,-0.353897157445844,-0.369500828145339
"std_gc_contour_mean_elevation_m_k10",0.223676607152454,0.450021446316509,0.141421113577148,-0.00534350425360506,0.08819552864631
"mean_gc_contour_mean_slope_deg_k10",-0.0984113686935431,0.831537419100805,0.0475080202923262,-0.105676783741998,-0.157683128081518
"std_gc_contour_mean_slope_deg_k10",0.300016239566312,0.433251790050921,0.168586067345152,0.0529260897805879,0.0253795516295596
"mean_gc_contour_valley_depth_max_m_k10",0.0129385811810152,0.674048183760343,0.111365650237094,-0.056723983135223,-0.121380471274458
"std_gc_contour_valley_depth_max_m_k10",0.232141724146125,0.395208895066956,0.153931247973294,0.0372175943251595,-0.0207948890045053
"mean_gc_high_agri_plateau_proxy_k10",-0.559233801859419,-0.140783592524522,-0.209329691742586,-0.279351681442602,-0.328427905021021
"std_gc_high_agri_plateau_proxy_k10",-0.113046960011831,0.0471998091279103,0.158998709539875,-0.0729902480488765,-0.0293583445653419
"mean_gc_fastboende_count_k50",-0.0688030741843655,0.0084567008684572,-0.068710495651039,0.701050656308805,0.172192914814034
"std_gc_fastboende_count_k50",-0.0394092503546237,0.0407302981721922,-0.0881107572882332,0.712020616600375,0.209487206762078
"mean_gc_roads_medium_length_m_k50",-0.205379776769722,-0.0351277637557316,-0.166121588506303,0.371472307079925,0.193787958262528
"std_gc_roads_medium_length_m_k50",-0.203953899394521,-0.0406945125044704,-0.20568810687262,0.250794386882175,0.223055707938846
"mean_gc_roads_large_length_m_k50",-0.068400153206241,0.135739211537742,-0.185232700994052,0.421767823905598,0.305312200107037
"std_gc_roads_large_length_m_k50",0.0129123385443328,0.128470704629862,-0.215335074256089,0.27906157725838,0.30870743255217
"mean_gc_ecology_connectivity_share_k50",0.118178060185695,0.19729497854535,0.720066938193028,-0.172928555212258,-0.131531434178986
"std_gc_ecology_connectivity_share_k50",0.310997395384421,0.177933292584705,-0.0613079387534037,-0.116395779465893,-0.0569715753825192
"mean_gc_cultural_historical_conservation_share_k50",-0.0572554287070511,-0.00223193010369141,-0.110648524364608,0.00193361750746731,0.0299153969419036
"std_gc_cultural_historical_conservation_share_k50",-0.0528381797979003,-0.00822661594128792,-0.1266948960686,0.00307733806992795,0.0463522650239115
"mean_gc_fredskov_share_k50",-0.0790024127180607,0.0250866981286731,0.774928506543109,-0.0470411227438501,-0.156111234638157
"std_gc_fredskov_share_k50",0.157267169945694,0.174232091278552,0.384630747377308,-0.0424466454434347,-0.165306568294854
"mean_gc_agricultural_land_share_k50",-0.391455250889698,-0.141171041506458,-0.593085663197092,-0.431481387044948,0.0348321590601811
"std_gc_agricultural_land_share_k50",0.0631111237234995,0.280793502331006,0.0478163381588486,-0.164750590635364,0.11200351240342
"mean_gc_relief_m_k50",-0.0579731014583075,0.893616659844209,0.0711150568188396,-0.0832481612378234,-0.190252388882973
"std_gc_relief_m_k50",0.129184102321971,0.728568271676307,0.097435538913385,-0.00533854910223192,-0.135015203104813
"mean_gc_protected_watercourses_length_m_k50",0.104680564129002,0.0785786465107198,-0.0538392478110551,-0.149147556886684,-0.0126569791449001
"std_gc_protected_watercourses_length_m_k50",0.131670494947028,0.0908003747751624,-0.0607536932952282,-0.154790020763384,0.00542957968754609
"mean_gc_lake_share_k50",-0.0215952865952827,0.0513466267892178,0.27358075089452,0.0434508625426307,0.0143982494096357
"std_gc_lake_share_k50",0.0286451057038219,0.0509444130423477,0.252798278796275,0.0682305556230946,0.0441761333395415
"mean_gc_wetland_share_k50",-0.125719995650185,-0.0460707622556558,0.348584460440745,-0.0457318103207595,0.301836372426082
"std_gc_wetland_share_k50",-0.128742845718868,-0.0641925758369785,0.382498039734292,-0.0600560009873126,0.315842377247136
"mean_gc_moor_hede_share_k50",0.437181072173512,0.281208635966225,0.239108560139217,-0.0594013391713513,0.0509158222282923
"std_gc_moor_hede_share_k50",0.5620943857891,0.211310472524068,0.22714463758018,-0.0577119216892908,0.0352837571686215
"mean_gc_forest_share_k50",0.0747198725721046,0.0306815946989901,0.798609669949498,-0.109352292299182,-0.141163171195994
"std_gc_forest_share_k50",0.371204538727135,0.123764809453559,0.422932192012972,-0.123949118207026,-0.0732821258484099
"mean_gc_coastal_zone_share_k50",0.405804557841968,0.397288568586678,-0.275036256119663,0.134151787536377,0.202117737956184
