hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f2a62533ffff,9,10,7,False,False,True,True,55.08,58.98,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,1.0,0.552,0.0,0.0,0.6975,0.0,0.6984,0.0,1.0,505.0,82.8,84.6,697.5,151.0,3383.0,698.4,0.0,4081.9
891f2a62537ffff,9,10,7,True,True,False,False,47.85,50.45,,,,,1.0,0.002,0.0,0.0985,0.4076,0.4123,1.0,0.0,1.0,435.0,0.3,154.2,407.6,371.1,3721.5,1037.0,0.0,4252.5
891f2a6253bffff,9,10,7,True,True,False,False,65.16,77.73,,,,,1.0,0.858,0.0418,0.432,0.8249,0.5011,0.5314,0.0,1.0,272.0,128.7,337.6,824.9,451.0,3218.7,531.4,0.0,3765.0
891f2a62543ffff,9,10,7,False,False,True,True,58.04,61.87,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.2087,0.0,0.0,1.0,0.8892,0.0,0.0,1.0,268.3,31.3,142.2,1279.4,800.3,2071.9,0.0,0.0,3109.0
891f2a62547ffff,9,10,7,False,False,True,True,67.7,74.7,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,0.7121,0.0,0.0,1.0,102.8,253.1,143.5,1531.2,640.9,2403.6,0.0,0.0,3198.6
891f2a6254bffff,9,10,7,False,False,True,True,65.73,71.99,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.8347,0.0,0.0,0.9646,0.8258,0.0,0.0,1.0,586.0,125.2,116.5,964.6,743.2,1971.5,0.0,0.0,2808.3
891f2a6254fffff,9,10,7,False,False,True,True,68.8,75.8,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,0.8501,0.0,0.0,1.0,420.4,204.8,152.4,1230.7,765.1,2291.7,0.0,0.0,2897.5
891f2a62553ffff,9,10,7,False,False,True,True,66.04,72.28,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.81,0.0,0.0,1.0,0.8376,0.0,0.0,1.0,116.2,121.5,150.0,1121.6,753.8,1873.6,0.0,0.0,3320.5
891f2a62557ffff,9,10,7,False,False,True,True,52.99,56.19,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.05,0.0,0.0,1.0,0.5364,0.0,0.0,1.0,49.4,7.5,158.3,1433.1,482.8,2208.7,0.0,0.0,3409.7
891f2a6255bffff,9,10,7,False,False,True,True,70.0,77.0,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,433.8,307.3,126.2,1075.3,987.3,1742.8,0.0,0.0,3019.9
891f2a62563ffff,9,10,7,True,True,False,False,70.27,82.93,,,,,1.0,1.0,0.0,0.3291,1.0,0.8379,0.2604,0.0,1.0,90.0,466.8,281.0,1235.1,754.1,2943.2,260.4,0.0,3132.7
891f2a62567ffff,9,10,7,True,True,False,False,75.14,89.82,,,,,1.0,1.0,0.1654,0.6344,0.9144,1.0,0.5892,0.0,1.0,73.0,345.6,448.9,914.4,950.8,3272.9,589.2,0.0,3296.3
891f2a6256bffff,9,10,7,False,False,True,True,66.72,73.59,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,0.4912,0.1312,0.0,1.0,407.6,394.8,92.6,1496.5,442.1,2811.9,131.2,0.0,2817.6
891f2a6256fffff,9,10,7,True,True,False,False,70.49,81.73,,,,,1.0,1.0,0.0,0.2616,1.0,0.709,0.4699,0.0,1.0,242.1,574.9,243.9,1192.6,638.1,3150.2,469.9,0.0,2977.7
891f2a62573ffff,9,10,7,False,False,True,True,68.0,74.95,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,1.0,0.7116,0.0516,0.0,1.0,61.9,233.0,68.0,1345.4,640.4,2737.1,51.6,0.0,3308.7
891f2a62577ffff,9,10,7,True,True,False,False,70.78,80.38,,,,,1.0,1.0,0.0,0.1656,1.0,0.8084,0.3853,0.0,1.0,120.3,177.2,191.1,1007.5,727.6,3071.7,385.3,0.0,3448.6
