hex_id,population,source_cell_count
88080202a5fffff,11,3
88080202a7fffff,23,3
88080202a9fffff,12,2
88080202adfffff,25,3
88080202d7fffff,2,1
88080202ddfffff,10,1
88080202e1fffff,22,2
88080202e3fffff,10,2
88080202e5fffff,4,1
88080202e7fffff,16,3
88080202e9fffff,3,1
88080202edfffff,4,2
8808020301fffff,124,4
8808020305fffff,22,2
8808020307fffff,14,3
8808020309fffff,11,3
880802030bfffff,3,2
880802030dfffff,70,5
8808020311fffff,2,1
8808020315fffff,6,2
8808020317fffff,18,3
8808020319fffff,11,3
8808020321fffff,14,4
8808020323fffff,7,2
8808020325fffff,9,3
8808020327fffff,1,1
880802032bfffff,1,1
880802032dfffff,4,2
8808020333fffff,5,1
8808020335fffff,21,4
8808020337fffff,4,1
8808020339fffff,7,2
880802033bfffff,2,1
8808020343fffff,5,1
880802035dfffff,11,2
8808020363fffff,4,1
880802036bfffff,18,3
880802036dfffff,2,1
8808020501fffff,8,4
8808020503fffff,7,1
8808020507fffff,23,2
8808020509fffff,6,2
880802050dfffff,16,3
8808020515fffff,5,3
880802051dfffff,4,1
8808020531fffff,8,1
8808020533fffff,3,1
8808020535fffff,4,2
8808020539fffff,5,1
880802053bfffff,6,2
880802053dfffff,4,1
8808020543fffff,3,1
8808020545fffff,1,1
8808020547fffff,14,3
880802054dfffff,7,1
8808020551fffff,3,1
8808020555fffff,14,2
880802055dfffff,3,1
88080205a1fffff,8,1
88080205adfffff,5,2
88080205e5fffff,5,2
88080205e7fffff,4,1
8808020705fffff,2,1
880802070dfffff,3,1
8808020727fffff,1,1
8808020729fffff,5,1
880802073dfffff,2,1
8808020845fffff,7,1
8808020849fffff,4,2
880802084dfffff,7,1
8808020861fffff,2,1
8808020865fffff,16,4
8808020869fffff,2,1
880802086dfffff,3,2
8808020929fffff,1,1
880802092dfffff,2,1
8808020941fffff,8,2
8808020943fffff,2,1
8808020945fffff,7,2
8808020947fffff,4,1
8808020949fffff,7,2
880802094bfffff,32,4
8808020951fffff,2,1
8808020953fffff,9,2
880802095dfffff,5,1
8808020965fffff,2,1
8808020967fffff,23,4
8808020969fffff,12,2
8808020a23fffff,4,1
8808020a27fffff,9,2
8808020a51fffff,2,1
8808020a59fffff,7,3
8808020a5bfffff,12,3
8808020a65fffff,3,2
8808020a67fffff,12,4
8808020b03fffff,10,1
8808020b13fffff,15,3
8808020b17fffff,6,1
8808020b23fffff,2,1
8808020b2bfffff,9,2
8808020b31fffff,5,2
8808020b33fffff,8,2
8808020b35fffff,12,4
8808020b37fffff,15,4
8808020b39fffff,1,1
8808020b3bfffff,8,4
8808020b3dfffff,5,1
8808020b59fffff,2,2
8808020c83fffff,2,1
8808020c95fffff,2,2
8808020cbbfffff,2,1
8808020cd5fffff,8,3
8808020e05fffff,7,1
8808020e07fffff,2,1
8808020e15fffff,2,1
8808020e63fffff,1,1
8808020e6bfffff,5,1
8808020eabfffff,1,1
8808020edbfffff,1,1
8808020ee3fffff,1,1
8808021001fffff,6,1
8808021003fffff,21,3
8808021005fffff,7,3
8808021007fffff,8,3
8808021009fffff,3,1
880802100bfffff,4,1
8808021011fffff,10,2
8808021013fffff,7,3
8808021015fffff,9,3
8808021017fffff,21,4
8808021019fffff,17,3
880802101bfffff,9,2
880802101dfffff,20,3
8808021023fffff,15,3
8808021029fffff,10,1
880802102bfffff,26,4
8808021033fffff,1,1
8808021037fffff,5,2
880802103bfffff,12,3
880802103dfffff,49,5
8808021041fffff,5,1
8808021043fffff,10,2
8808021045fffff,22,6
8808021047fffff,23,6
8808021049fffff,32,4
880802104bfffff,2,1
880802104dfffff,11,2
8808021051fffff,192,8
8808021053fffff,4,1
8808021057fffff,18,2
8808021059fffff,68,2
880802105bfffff,62,5
880802105dfffff,4,2
8808021063fffff,5,1
8808021069fffff,3,1
880802106bfffff,14,2
8808021091fffff,4,1
8808021093fffff,8,3
8808021099fffff,6,1
880802109bfffff,2,1
88080210a5fffff,7,2
88080210a7fffff,14,2
88080210c9fffff,9,2
88080210cbfffff,6,2
88080210d5fffff,7,2
88080210d7fffff,8,3
88080210ddfffff,17,2
88080210e5fffff,5,1
88080210e9fffff,8,2
88080210edfffff,15,4
8808021107fffff,8,3
8808021111fffff,2,1
8808021113fffff,7,1
8808021117fffff,6,2
880802111bfffff,5,1
8808021123fffff,2,1
8808021127fffff,6,2
8808021131fffff,17,4
8808021133fffff,48,4
8808021135fffff,12,3
8808021139fffff,1,1
8808021163fffff,2,1
8808021167fffff,2,1
8808021169fffff,5,2
880802116bfffff,1,1
8808021181fffff,4,1
880802118dfffff,10,1
8808021191fffff,47,6
8808021193fffff,3,1
8808021195fffff,18,3
8808021197fffff,27,5
8808021199fffff,22,4
880802119bfffff,17,3
880802119dfffff,14,4
88080211b3fffff,6,2
88080211b7fffff,4,1
88080211c5fffff,7,2
88080211cbfffff,4,1
88080211d1fffff,12,2
88080211d3fffff,9,3
88080211d9fffff,6,2
88080211ddfffff,4,1
88080211e1fffff,24,3
88080211e3fffff,14,2
88080211e5fffff,20,3
88080211e7fffff,3,1
88080211e9fffff,4,1
88080211ebfffff,10,1
8808021201fffff,7,2
8808021209fffff,1,1
880802120dfffff,5,1
8808021211fffff,14,1
8808021215fffff,17,5
8808021219fffff,13,3
880802121bfffff,28,6
880802121dfffff,5,2
8808021221fffff,9,3
8808021225fffff,14,2
8808021227fffff,19,3
880802122bfffff,2,1
880802122dfffff,19,2
8808021233fffff,133,4
880802123bfffff,3,2
8808021245fffff,7,3
8808021247fffff,7,1
8808021249fffff,1,1
880802124dfffff,19,3
8808021253fffff,4,1
8808021257fffff,11,2
8808021261fffff,7,2
880802126dfffff,2,1
88080212a1fffff,13,4
88080212a3fffff,26,5
88080212a7fffff,5,1
88080212a9fffff,12,3
88080212abfffff,14,2
88080212adfffff,57,4
88080212b5fffff,5,1
88080212c9fffff,22,3
88080212e1fffff,2,1
88080212e5fffff,4,1
88080212e7fffff,62,6
88080212edfffff,1,1
8808021309fffff,4,2
880802130bfffff,1,1
8808021311fffff,9,3
8808021313fffff,6,2
880802131bfffff,6,2
880802131dfffff,8,1
880802132dfffff,4,1
8808021343fffff,14,2
8808021347fffff,8,3
8808021351fffff,8,3
8808021353fffff,8,2
8808021355fffff,7,2
8808021357fffff,6,2
8808021359fffff,5,1
880802135dfffff,8,1
8808021365fffff,62,2
880802150dfffff,1,1
880802153dfffff,2,1
8808021569fffff,2,1
880802156bfffff,8,2
880802165bfffff,2,1
8808021805fffff,3,2
880802180dfffff,3,2
8808021815fffff,5,2
8808021817fffff,11,2
8808021819fffff,3,1
880802181dfffff,4,1
8808021821fffff,12,3
8808021823fffff,2,1
8808021827fffff,13,4
8808021829fffff,9,2
880802182bfffff,8,1
8808021831fffff,20,5
8808021833fffff,3,2
880802183bfffff,12,2
8808021841fffff,7,1
8808021843fffff,24,3
8808021845fffff,6,2
880802184bfffff,15,2
880802184dfffff,155,3
8808021851fffff,3,1
8808021855fffff,21,6
8808021857fffff,12,1
8808021859fffff,179,4
880802185bfffff,3,1
880802185dfffff,45,4
8808021863fffff,15,2
8808021885fffff,3,1
8808021889fffff,7,1
880802188bfffff,1,1
8808021891fffff,5,1
8808021895fffff,12,1
8808021897fffff,4,1
8808021899fffff,10,2
880802189bfffff,4,1
88080218a1fffff,1,1
88080218a3fffff,14,3
88080218a7fffff,1,1
88080218a9fffff,22,4
88080218abfffff,3,2
88080218b5fffff,4,1
88080218b7fffff,3,2
88080218bdfffff,2,1
88080218c1fffff,4,2
88080218c3fffff,2,1
88080218c7fffff,4,2
88080218c9fffff,5,1
88080218cbfffff,5,2
88080218d1fffff,4,1
88080218d3fffff,6,1
88080218d7fffff,3,1
88080218d9fffff,5,1
88080218ddfffff,7,1
88080218e1fffff,42,2
88080218e3fffff,62,6
88080218e5fffff,8,3
88080218e7fffff,84,5
88080218ebfffff,2,1
88080218edfffff,14,4
8808021903fffff,5,2
8808021905fffff,6,1
8808021907fffff,13,3
880802190bfffff,5,2
880802190dfffff,6,2
8808021915fffff,2,1
8808021917fffff,5,2
880802191dfffff,5,2
8808021925fffff,3,1
8808021929fffff,6,2
880802192dfffff,7,2
8808021935fffff,1,1
8808021939fffff,7,1
880802193bfffff,7,1
880802193dfffff,6,2
8808021945fffff,12,3
8808021947fffff,5,1
8808021949fffff,4,2
880802194dfffff,17,2
8808021953fffff,23,3
8808021957fffff,8,2
8808021961fffff,15,2
8808021963fffff,22,4
8808021967fffff,94,4
8808021969fffff,2,1
880802196bfffff,8,3
880802196dfffff,2,1
8808021989fffff,9,1
8808021991fffff,14,2
88080219b1fffff,1,1
88080219b3fffff,12,3
88080219b7fffff,2,1
88080219b9fffff,4,1
88080219bbfffff,17,3
88080219c1fffff,9,3
88080219c5fffff,3,2
88080219cdfffff,6,3
88080219d3fffff,6,1
88080219d5fffff,12,3
88080219dbfffff,18,3
88080219e1fffff,12,3
88080219e9fffff,12,3
88080219ebfffff,12,3
88080219edfffff,14,2
8808021a01fffff,214,4
8808021a03fffff,608,8
8808021a05fffff,71,1
8808021a07fffff,974,8
8808021a09fffff,596,7
8808021a0bfffff,69,2
8808021a0dfffff,314,5
8808021a11fffff,52,2
8808021a13fffff,7,1
8808021a15fffff,430,7
8808021a17fffff,44,4
8808021a19fffff,526,8
8808021a1bfffff,398,6
8808021a1dfffff,187,5
8808021a21fffff,318,2
8808021a23fffff,729,7
8808021a25fffff,99,1
8808021a27fffff,300,5
8808021a29fffff,386,2
8808021a2bfffff,882,7
8808021a2dfffff,565,6
8808021a31fffff,1,1
8808021a33fffff,2,1
8808021a35fffff,441,7
8808021a37fffff,183,7
8808021a39fffff,563,7
8808021a3dfffff,987,7
8808021a43fffff,297,4
8808021a47fffff,208,2
8808021a51fffff,16,3
8808021a53fffff,30,4
8808021a55fffff,1,1
8808021a57fffff,2,1
8808021a59fffff,16,4
8808021a5bfffff,9,2
8808021a5dfffff,6,1
8808021a65fffff,36,1
8808021a85fffff,20,4
8808021a87fffff,10,2
8808021aa9fffff,5,2
8808021aabfffff,12,2
8808021ab1fffff,8,2
8808021ab5fffff,13,3
8808021ab9fffff,2,1
8808021abbfffff,1,1
8808021abdfffff,11,1
8808021ad9fffff,7,1
8808021ae1fffff,9,1
8808021ae3fffff,59,6
8808021ae5fffff,253,3
8808021ae7fffff,194,6
8808021aedfffff,12,1
8808021b01fffff,20,1
8808021b05fffff,6,3
8808021b09fffff,3,1
8808021b0bfffff,27,3
8808021b19fffff,28,3
8808021b1bfffff,120,2
8808021b1dfffff,41,2
8808021b21fffff,7,1
8808021b23fffff,16,4
8808021b27fffff,2,1
8808021b29fffff,3,1
8808021b2bfffff,18,5
8808021b2dfffff,10,3
8808021b35fffff,1,1
8808021b3dfffff,16,4
8808021b41fffff,5,1
8808021b43fffff,1,1
8808021b47fffff,2,1
8808021b4bfffff,3,1
8808021b4dfffff,28,4
