"hex_id","hex_area_m2","potential_area_m2","potential_area_km2","potential_area_share_pct"
"8a1f2a0d8547fff",12670.7883291543,12670.6212449521,0.0126706212449521,99.9986813432769
"8a1f2a0d832ffff",12670.8101850972,550.068537852028,0.000550068537852028,4.34122625007037
"8a1f2a0d80b7fff",12670.8522934392,765.034785475582,0.000765034785475582,6.03775316575749
"8a1f2a0d8367fff",12670.8740313202,1662.07541092858,0.00166207541092858,13.1172909368384
"8a1f2a0d804ffff",12670.8952020891,11411.080402758,0.011411080402758,90.0574128407011
"8a1f2a0d8557fff",12670.937143214,3250.52196429297,0.00325052196429297,25.653366657523
"8a1f2a0d8307fff",12670.9590797573,12406.9488146747,0.0124069488146747,97.9164145080039
"8a1f2a0d854ffff",12671.0011207387,1552.16188546084,0.00155216188546084,12.2497178452649
"8a1f2a0d8377fff",12671.0229389258,5671.78377560899,0.00567178377560899,44.7618460083842
"8a1f2a0d805ffff",12671.0440759771,9342.19154735561,0.00934219154735562,73.7286642784821
"8a1f2a0d836ffff",12671.086778935,3205.27924126294,0.00320527924126294,25.2960089152852
"8a1f2a0d8317fff",12671.1079665758,11030.875561411,0.011030875561411,87.0553355752993
"8a1f2a0d80f7fff",12671.1290201694,4283.29531235993,0.00428329531235993,33.8035806086573
"8a1f2a0d855ffff",12671.1499407366,181.039370667189,0.000181039370667189,1.42875249297749
"8a1f2a0d830ffff",12671.1718385331,7599.57359896135,0.00759957359896135,59.9753021725345
"8a1f2a0d80effff",12671.1929422915,9191.23225206509,0.00919123225206509,72.5364398910567
"8a1f2a0d8347fff",12671.235692054,10514.7872374579,0.0105147872374579,82.9815457071138
"8a1f2a0d83a7fff",12671.256846033,11870.9596920363,0.0118709596920363,93.684153326532
"8a1f2a0d808ffff",12671.2778659984,2257.65893913992,0.00225765893913992,17.8171370166068
"8a1f2a0d831ffff",12671.3207308389,10890.1455495306,0.0108901455495306,85.9432554889614
"8a1f2a0d80c7fff",12671.3418006413,9837.33281617827,0.00983733281617827,77.6344997313578
"8a1f2a0d8357fff",12671.3845969439,12671.3845969457,0.0126713845969457,100
"8a1f2a0d83b7fff",12671.4057171829,8983.30102190294,0.00898330102190294,70.8942734721314
"8a1f2a0d809ffff",12671.4267035499,3565.38764249533,0.00356538764249533,28.1372234232826
"8a1f2a0d834ffff",12671.448445145,5371.54021621868,0.00537154021621868,42.3908935073381
"8a1f2a0d83affff",12671.4696151726,11202.8102098736,0.0112028102098736,88.4097152903208
"8a1f2a0d80d7fff",12671.4906516708,10520.162306821,0.010520162306821,83.0222946613925
"8a1f2a0d8227fff",12671.5334945731,11950.001682187,0.011950001682187,94.3058840297811
"8a1f2a0d80cffff",12671.5545811579,12671.554581156,0.012671554581156,99.9999999999853
"8a1f2a0d846ffff",12671.5755337812,2336.91124733165,0.00233691124733165,18.4421522098943
"8a1f2a0d835ffff",12671.5973551944,12625.7260606568,0.0126257260606568,99.6379991152516
"8a1f2a0d8387fff",12671.618491739,8248.54027865455,0.00824854027865455,65.0946071650751
"8a1f2a0d8727fff",12671.6394945458,9537.66277321801,0.00953766277321801,75.2677881762916
"8a1f2a0d8237fff",12671.6823842414,12671.682384247,0.012671682384247,100
"8a1f2a0d80dffff",12671.7034369893,12291.3340499308,0.0122913340499308,96.9982773906449
"8a1f2a0d822ffff",12671.7462579682,12352.9035798796,0.0123529035798796,97.4838299978726
"8a1f2a0d8397fff",12671.7673607916,1594.88089303044,0.00159488089303044,12.5860966952822
"8a1f2a0d8737fff",12671.7883303463,11300.0686335377,0.0113000686335377,89.1750109688652
"8a1f2a0d8267fff",12671.810113322,4688.48286197986,0.00468848286197986,36.9993143840659
"8a1f2a0d838ffff",12671.8312661462,11651.4803595869,0.0116514803595869,91.9478812088887
"8a1f2a0d872ffff",12671.8522853479,11621.9260325804,0.0116219260325804,91.7145005392665
"8a1f2a0d8207fff",12671.8951531462,11864.5833974509,0.0118645833974509,93.629115882521
"8a1f2a0d8767fff",12671.916222021,2470.2552352231,0.0024702552352231,19.493935975763
"8a1f2a0d844ffff",12671.9371576943,3541.87107454799,0.00354187107454799,27.9505100954309
"8a1f2a0d8277fff",12671.9590214305,12277.0603714163,0.0122770603714163,96.8836811313361
"8a1f2a0d839ffff",12671.9801408648,47.2830701707862,4.72830701707862e-05,0.373130873353462
"8a1f2a0d8707fff",12672.0011260509,11336.680719788,0.011336680719788,89.4624345990795
"8a1f2a0d8217fff",12672.0440401994,12672.0416063908,0.0126720416063908,99.9999807938758
